Age,Type,Origin,RarityScore
5,2,0,0.958423
5,4,3,0.986474
5,1,6,0.958423
5,4,1,0.99115
5,3,4,0.981799
5,2,5,0.939722
6,3,0,0.977755
6,3,2,0.964048
6,2,6,0.964048
7,3,3,0.960313
7,4,6,0.969288
7,0,1,0.9648
7,2,5,0.942363
7,2,2,0.951338
8,3,2,0.96614
8,0,1,0.96614
9,2,3,0.971086
9,0,3,0.966827
9,3,3,0.962568
9,0,5,0.971086
10,2,0,0.958764
10,2,6,0.967211
10,4,4,0.984105
10,3,6,0.962987
11,0,3,0.967868
11,3,0,0.98033
11,1,2,0.976176
12,2,6,0.969162
12,3,5,0.981176
12,3,6,0.965157
12,4,2,0.965157
12,1,0,0.969162
13,3,2,0.965821
13,0,5,0.969763
13,0,3,0.965821
13,0,0,0.965821
13,4,0,0.965821
13,3,3,0.957937
14,4,1,0.985814
14,4,5,0.974125
14,2,0,0.962435
14,4,6,0.966332
14,0,3,0.966332
14,0,1,0.966332
15,1,3,0.971493
15,2,2,0.952738
15,4,3,0.978994
16,2,2,0.953375
17,4,5,0.976295
17,1,1,0.979924
17,2,2,0.954518
17,2,6,0.972665
18,1,5,0.962303
18,4,6,0.969484
19,2,2,0.952336
19,1,3,0.973578
20,3,2,0.966842
20,2,6,0.970358
20,2,0,0.963326
20,4,0,0.963326
20,3,6,0.966842
20,0,5,0.973874
20,3,3,0.956295
21,3,3,0.954054
22,0,5,0.97152
22,3,1,0.974929
22,2,5,0.947659
22,0,2,0.985156
22,2,3,0.964703
22,3,2,0.968112
22,1,6,0.964703
23,0,5,0.972029
23,3,0,0.982119
23,1,1,0.978756
24,2,5,0.948939
24,3,3,0.955621
24,2,0,0.965645
24,0,6,0.985693
25,3,0,0.97934
25,2,4,0.985957
25,1,3,0.976031
25,1,0,0.966106
25,2,0,0.966106
25,2,6,0.972723
25,2,2,0.95618
26,2,1,0.980033
26,2,4,0.986481
27,1,6,0.968124
27,2,1,0.980697
27,3,6,0.964981
27,4,2,0.968124
27,1,5,0.968124
27,2,2,0.955551
27,4,5,0.974411
28,1,5,0.968754
28,3,6,0.965659
28,4,6,0.971849
29,2,0,0.963272
29,0,0,0.96632
29,2,1,0.981562
29,0,2,0.98461
29,2,3,0.963272
29,1,2,0.978513
30,3,1,0.976054
30,4,2,0.970066
30,0,0,0.967072
30,0,5,0.970066
30,4,4,0.985036
30,2,1,0.982042
31,3,1,0.973684
31,0,0,0.9678
31,2,5,0.941326
32,2,5,0.942312
32,4,5,0.977105
32,4,2,0.971306
33,4,3,0.977427
33,2,5,0.94293
33,4,2,0.971677
33,3,0,0.974552
33,4,0,0.968803
34,0,1,0.963829
34,4,0,0.969482
34,1,1,0.983615
35,1,6,0.964366
35,1,3,0.978343
35,0,3,0.978343
35,2,2,0.953185
36,4,6,0.964787
36,3,3,0.962014
37,2,5,0.946268
37,1,6,0.965412
37,1,0,0.962677
38,3,3,0.960626
38,2,0,0.966023
38,0,5,0.974118
38,2,3,0.957927
38,3,5,0.98761
38,4,0,0.971419
38,2,5,0.947134
39,0,1,0.96662
39,1,2,0.974608
39,1,0,0.963957
39,0,4,0.993249
40,0,6,0.983192
40,3,1,0.97799
40,3,4,0.983192
40,1,5,0.967585
40,2,3,0.957181
41,4,2,0.975779
41,0,3,0.980928
41,0,4,0.991227
41,4,4,0.988652
41,4,0,0.973205
42,1,1,0.983758
42,4,4,0.988869
42,3,1,0.978648
42,3,4,0.981203
42,1,5,0.968427
42,0,1,0.965872
42,3,3,0.960761
42,1,3,0.976093
43,0,0,0.969061
43,0,3,0.981647
43,2,2,0.956476
43,4,0,0.974095
44,1,6,0.967015
44,2,5,0.949569
44,0,0,0.969508
44,4,0,0.974492
45,1,6,0.965395
45,3,2,0.975172
46,1,5,0.965681
46,2,5,0.951086
46,2,1,0.98514
46,0,0,0.970546
47,1,6,0.963741
47,2,0,0.970969
47,3,5,0.990244
47,4,6,0.961332
48,1,1,0.98332
48,2,2,0.959453
48,2,5,0.952293
48,3,1,0.980933
48,3,2,0.973773
49,1,2,0.976593
49,0,6,0.98367
49,1,6,0.964798
49,3,6,0.967157
49,0,0,0.971875
49,3,4,0.981311
49,3,2,0.974234
50,2,1,0.984111
50,1,3,0.977148
50,3,5,0.991074
50,1,0,0.965543
50,2,4,0.993395
51,0,2,0.982153
51,3,6,0.968384
51,1,0,0.966089
51,1,2,0.975268
52,2,3,0.96199
52,1,2,0.975635
53,0,0,0.97164
53,2,6,0.980616
53,0,6,0.98286
54,0,1,0.969811
54,4,5,0.983157
54,3,6,0.969811
54,2,5,0.95424
