Age,Type,Origin,RarityScore
9984,0,1,1.9727
9988,3,2,1.9717
9992,1,3,1.96914
9981,3,0,1.96717
9983,0,6,1.96638
9866,1,5,1.96538
9970,1,3,1.9653
9889,4,4,1.96399
9957,1,6,1.96359
9903,0,3,1.96215
9873,1,5,1.96214
9966,3,4,1.96122
9966,0,1,1.96122
9893,0,3,1.96071
9968,1,3,1.96068
9971,0,1,1.96002
9972,2,6,1.95921
9996,3,0,1.95896
9986,3,4,1.95876
9908,0,1,1.95836
9961,2,6,1.95826
9988,2,6,1.95815
9900,0,3,1.9579
9964,2,6,1.95735
9896,1,5,1.95712
9947,1,6,1.95699
9943,0,1,1.95691
9894,0,3,1.95679
9945,3,4,1.95671
9925,0,1,1.95649
9951,2,6,1.95649
9859,1,5,1.95639
9998,3,1,1.95633
9926,1,5,1.95622
9926,3,4,1.95622
9853,4,4,1.95598
9928,0,1,1.9559
9931,0,1,1.95588
9991,1,5,1.95564
9980,4,1,1.95562
9968,4,1,1.95552
9968,0,6,1.95552
9999,3,4,1.95526
9914,0,3,1.95505
9957,3,4,1.95441
9842,0,3,1.95427
9992,3,4,1.95411
9960,4,1,1.95373
9983,4,1,1.95361
9899,0,1,1.95357
9973,3,0,1.95328
9865,3,1,1.95283
9946,3,1,1.95278
9948,1,5,1.95272
9895,3,1,1.95266
9860,3,1,1.95234
9921,3,1,1.95226
9921,1,0,1.95226
9975,3,1,1.95223
9923,1,5,1.95221
9951,3,2,1.95219
9937,1,5,1.95208
9936,1,5,1.95207
9952,3,1,1.95164
9852,0,3,1.95162
9847,4,4,1.95113
9966,0,3,1.95111
9785,4,0,1.95108
9915,0,0,1.95102
9917,3,1,1.95089
9978,3,1,1.95079
9978,2,4,1.95079
9955,4,1,1.95066
9955,0,3,1.95066
9672,3,2,1.95046
9909,0,0,1.95043
9968,0,3,1.95036
9910,0,0,1.95028
9903,1,0,1.95009
9815,1,5,1.95005
9956,0,3,1.95004
9875,1,2,1.94992
9875,0,0,1.94992
9900,2,6,1.94988
9838,0,3,1.94967
9840,3,1,1.94965
9839,0,3,1.94962
9898,3,1,1.9496
9814,1,5,1.94959
9990,0,0,1.94955
9899,2,6,1.94954
9811,2,4,1.94951
9970,0,3,1.94945
9970,3,0,1.94945
9837,1,5,1.94942
9971,0,3,1.94942
9805,2,4,1.94899
9997,2,6,1.94886
9997,2,3,1.94886
9961,3,1,1.9488
9981,1,5,1.94861
9943,3,2,1.9486
9892,4,1,1.94844
9800,1,5,1.94843
9940,0,6,1.9484
9940,3,2,1.9484
9972,1,0,1.94836
9963,1,5,1.94831
9945,3,1,1.94831
9950,4,1,1.94831
9950,1,3,1.94831
9797,1,5,1.94828
9924,0,6,1.94812
9934,1,6,1.9481
9938,0,0,1.94792
9938,0,6,1.94792
9935,1,6,1.94782
9935,3,1,1.94782
9932,0,6,1.94781
9973,2,4,1.94778
9919,0,4,1.94764
9998,4,2,1.94763
9930,2,3,1.94761
