Age,Type,Origin,RarityScore
5,1,0,0.985756
5,2,6,0.975594
5,4,4,0.965431
5,4,5,0.975594
6,1,1,0.966158
6,2,6,0.97617
6,3,0,0.956146
6,0,6,0.966158
7,3,3,0.946868
7,1,4,0.98157
7,0,3,0.951826
7,0,1,0.966698
7,0,5,0.966698
7,3,0,0.956783
8,3,4,0.987154
8,1,1,0.967892
8,4,5,0.972708
8,2,1,0.972708
8,2,0,0.967892
9,2,5,0.963817
9,0,5,0.968565
9,4,4,0.963817
9,3,3,0.949573
9,2,1,0.973313
10,3,3,0.950972
10,1,4,0.983444
10,2,0,0.969528
10,3,6,0.983444
11,2,2,0.988595
11,1,2,0.974991
11,3,1,0.970456
11,2,6,0.974991
11,3,0,0.961386
12,0,6,0.971214
12,3,0,0.962304
12,2,1,0.971214
12,0,3,0.948939
12,2,3,0.957849
13,0,6,0.971818
13,4,4,0.963024
13,4,0,0.963024
13,2,3,0.958626
13,3,2,0.985011
13,4,1,0.967421
14,3,3,0.95484
14,4,0,0.96356
14,4,6,0.981
14,2,0,0.96792
14,3,5,0.981
15,3,3,0.95625
15,0,2,0.969
15,1,3,0.98175
16,3,1,0.97442
17,4,1,0.971291
17,4,3,0.971291
17,0,1,0.971291
18,2,5,0.964243
18,0,5,0.964243
18,1,3,0.979986
19,2,0,0.965487
20,3,3,0.962481
20,1,6,0.981353
20,0,2,0.966256
20,2,3,0.966256
20,4,2,0.981353
20,4,0,0.966256
21,2,0,0.966869
21,0,3,0.95567
21,2,6,0.974335
21,1,4,0.974335
21,1,2,0.981801
21,4,1,0.974335
22,4,5,0.982406
23,3,0,0.972077
23,3,4,0.986532
24,1,1,0.97959
24,1,3,0.983191
24,1,2,0.983191
24,4,6,0.986793
24,0,6,0.972387
24,4,5,0.97959
24,2,4,0.983191
24,2,3,0.957981
24,4,3,0.972387
24,1,5,0.983191
25,4,3,0.969737
25,2,4,0.983842
25,4,0,0.966211
25,2,5,0.966211
25,2,3,0.959158
25,0,1,0.976789
26,3,5,0.980853
26,4,4,0.970418
27,4,2,0.981215
27,2,4,0.98467
28,4,4,0.971512
28,2,2,0.988556
28,0,3,0.957877
29,3,0,0.975423
29,2,4,0.985549
29,1,1,0.978799
29,2,1,0.975423
29,0,5,0.961923
30,3,1,0.97602
30,4,2,0.979351
30,2,0,0.969358
30,0,6,0.969358
31,0,5,0.960014
32,3,1,0.9768
32,2,5,0.970222
32,0,1,0.9768
33,0,0,0.980707
34,2,3,0.962195
34,0,0,0.981311
35,0,1,0.975233
35,3,5,0.97841
35,4,1,0.975233
35,0,2,0.96888
35,0,3,0.962527
36,0,5,0.96057
