Age,Type,Origin,RarityScore
4995,2,6,1.97098
4981,3,5,1.96584
4983,3,5,1.96576
4986,3,5,1.96486
4994,1,1,1.96229
4994,2,6,1.96229
4938,1,3,1.96205
4936,1,3,1.96179
4966,0,3,1.96136
4970,0,3,1.96088
4997,1,3,1.96039
4975,3,1,1.9595
4977,2,3,1.95925
4984,0,4,1.95749
4984,3,0,1.95749
4940,0,2,1.95726
4989,4,2,1.95529
4964,0,2,1.95508
4963,1,3,1.955
4902,0,5,1.95481
4992,4,5,1.95438
4992,4,2,1.95438
4992,0,4,1.95438
4991,4,2,1.95438
4970,0,2,1.95425
4898,0,5,1.95416
4897,0,5,1.95389
4993,0,3,1.95338
4973,4,5,1.95319
4973,0,2,1.95319
4973,1,5,1.95319
4974,1,3,1.9528
4943,2,6,1.95272
4976,1,5,1.95229
4976,1,6,1.95229
4954,0,3,1.9522
4940,1,4,1.95213
4996,1,5,1.95205
4996,0,2,1.95205
4996,1,0,1.95205
4977,1,5,1.95202
4938,1,4,1.95183
4938,2,6,1.95183
4980,1,1,1.95115
4959,3,0,1.95055
4982,1,1,1.95033
4877,1,3,1.95014
4961,2,1,1.94981
4901,3,3,1.94958
4962,4,0,1.94935
4899,3,3,1.94918
4985,1,3,1.94888
4985,1,6,1.94888
4985,0,2,1.94888
4964,1,5,1.94879
4963,2,1,1.94874
5000,4,5,1.94872
5000,2,5,1.94872
4968,2,1,1.94814
4869,1,3,1.9481
4987,2,5,1.94808
4969,2,1,1.94804
4893,2,5,1.94784
4868,1,3,1.94783
4919,1,5,1.94782
4944,0,6,1.94779
4944,2,6,1.94779
4944,2,1,1.94779
4951,3,0,1.94774
4970,3,0,1.94763
4942,2,1,1.94751
4891,3,6,1.94729
4971,1,6,1.9472
4940,3,6,1.94701
4989,2,5,1.94679
4972,4,0,1.94675
4972,4,5,1.94675
4911,0,2,1.94671
4887,2,1,1.94642
4973,4,0,1.94629
4933,2,5,1.94606
4932,4,4,1.94586
4908,2,5,1.94585
4908,1,5,1.94585
4907,1,5,1.94565
4976,4,0,1.94514
4977,1,2,1.94479
4977,4,2,1.94479
4903,2,5,1.94468
4978,4,0,1.94424
4978,2,5,1.94424
4899,2,5,1.94408
4898,4,6,1.94398
4898,1,5,1.94398
4923,0,5,1.94389
4961,0,4,1.94376
4871,3,6,1.94367
4846,0,0,1.94343
4948,0,3,1.94333
4948,3,1,1.94333
4947,2,6,1.94325
4947,2,5,1.94325
4981,4,0,1.94307
4895,2,1,1.94292
4950,2,5,1.94287
4946,3,1,1.94282
4982,1,2,1.94265
4983,1,2,1.94264
4963,0,4,1.94247
4942,3,0,1.9424
4940,3,1,1.94189
4953,2,3,1.94138
4934,1,5,1.9413
4985,4,4,1.94086
4884,4,6,1.94076
4986,3,3,1.9406
4907,4,6,1.94055
4998,0,0,1.93991
4987,0,5,1.93986
4987,2,1,1.93986
4987,4,4,1.93986
4852,2,5,1.93977
4851,0,0,1.93965
4926,2,2,1.93962
4988,4,4,1.93958
4900,1,4,1.93938
4875,2,1,1.93937
4925,3,0,1.93931
4958,0,5,1.93919
4959,3,3,1.93876
4897,3,3,1.93859
4871,2,1,1.93858
4921,3,0,1.93841
4921,4,4,1.93841
4960,0,6,1.93832
4960,4,6,1.93832
4990,4,4,1.93823
4975,4,4,1.9382
4948,2,3,1.93819
4949,1,0,1.93785
4961,4,6,1.9377
4946,3,6,1.93767
4950,4,6,1.93763
4977,0,5,1.93756
4867,3,6,1.93743
4942,4,6,1.93728
4951,4,1,1.93713
4863,3,6,1.93673
4840,0,5,1.93668
4979,1,0,1.93667
4979,0,5,1.93667
4912,3,6,1.93665
4732,0,3,1.93639
4886,1,4,1.93633
4952,1,0,1.93631
4952,3,3,1.93631
4964,1,0,1.93622
4964,4,5,1.93622
4964,0,5,1.93622
4963,3,2,1.93621
4963,0,5,1.93621
4980,0,5,1.93619
4965,4,4,1.93606
4953,0,6,1.93591
4908,3,3,1.93564
4884,1,4,1.93562
4909,4,5,1.93559
4836,0,5,1.93556
4907,4,5,1.93544
4858,2,1,1.93538
4956,3,3,1.93511
4956,4,3,1.93511
4956,0,6,1.93511
4955,3,3,1.93507
4969,4,6,1.93497
4969,3,2,1.93497
4983,3,3,1.93493
4835,2,0,1.93475
4835,3,3,1.93475
4904,4,5,1.93462
4806,1,6,1.93455
4957,4,6,1.9345
4957,4,1,1.9345
4902,3,0,1.93434
4874,2,0,1.93419
4831,0,5,1.93397
4848,3,3,1.93388
4899,4,0,1.93388
4971,3,2,1.93377
4971,4,1,1.93377
4971,0,6,1.93377
4847,3,3,1.93341
4972,0,6,1.93314
4947,4,1,1.933
4825,3,4,1.93279
4920,4,5,1.93273
4822,0,3,1.93254
4822,3,3,1.93254
4946,4,3,1.93251
4946,1,6,1.93251
4946,2,3,1.93251
4973,3,3,1.93248
4893,4,5,1.93247
4917,2,2,1.93241
4919,4,5,1.93241
