Age,Type,Origin,RarityScore
6,3,4,0.939729
6,2,3,0.979356
6,0,4,0.968034
6,3,3,0.956712
7,3,5,0.991196
7,1,3,0.968922
8,4,3,0.964728
8,2,2,0.964728
9,0,1,0.970989
9,3,1,0.970989
10,2,1,0.987737
10,4,3,0.966943
10,3,2,0.97734
10,1,4,0.961744
11,3,0,0.988536
11,1,4,0.963318
12,0,2,0.954542
12,4,2,0.974325
12,2,4,0.979271
12,1,2,0.974325
13,2,6,0.97037
13,4,5,0.965519
13,0,0,0.980074
14,4,6,0.966394
15,4,4,0.990911
15,4,0,0.981519
15,2,6,0.96743
15,0,2,0.958037
16,3,0,0.986971
16,4,2,0.973199
16,4,5,0.968609
16,3,6,0.973199
17,3,4,0.947561
17,3,5,0.992258
17,2,5,0.992258
17,3,6,0.96991
18,1,3,0.975114
18,3,6,0.970702
18,2,6,0.970702
18,1,4,0.961877
18,0,4,0.966289
18,0,2,0.961877
19,3,4,0.950664
19,3,2,0.98064
19,3,1,0.98064
19,2,2,0.976357
19,4,0,0.98064
19,4,1,0.989204
19,0,0,0.98064
20,0,2,0.964191
20,4,5,0.972686
20,0,3,0.985429
21,3,4,0.952226
22,4,4,0.994794
22,2,5,0.990614
22,4,6,0.973895
22,2,0,0.965535
22,4,3,0.969715
23,2,2,0.974355
23,3,3,0.966028
24,2,2,0.975614
24,0,2,0.967518
24,3,6,0.975614
24,0,1,0.979663
25,0,3,0.9801
26,3,4,0.948864
26,0,6,0.976772
26,2,6,0.976772
26,3,3,0.964812
26,1,0,0.984746
26,1,4,0.968798
26,1,5,0.992719
26,2,0,0.968798
27,2,6,0.977345
27,4,0,0.981302
27,1,3,0.977345
27,0,1,0.981302
27,2,2,0.977345
28,0,2,0.970212
29,1,2,0.970532
29,3,4,0.950965
29,0,0,0.982273
30,1,2,0.97145
30,4,3,0.975305
30,3,3,0.967595
31,4,3,0.976149
31,3,4,0.95336
32,0,6,0.976726
32,4,6,0.972955
32,2,6,0.980498
32,1,1,0.98804
32,0,2,0.969184
32,2,4,0.98804
33,4,3,0.977548
33,1,3,0.981265
33,3,1,0.988699
33,0,4,0.973831
33,2,4,0.984982
33,1,4,0.973831
33,2,0,0.973831
33,3,4,0.955246
33,4,6,0.973831
34,0,0,0.981913
34,1,2,0.97088
35,2,3,0.986465
35,0,6,0.975664
35,1,1,0.990065
35,3,3,0.972064
36,4,2,0.980265
36,3,1,0.990843
36,1,6,0.987317
36,2,0,0.976739
36,1,1,0.990843
37,2,0,0.974197
37,3,4,0.956863
39,1,4,0.975481
39,1,2,0.975481
39,2,0,0.975481
40,4,3,0.979443
40,4,2,0.982832
40,0,2,0.972664
40,1,0,0.982832
41,4,6,0.980212
42,3,2,0.987832
42,3,1,0.994374
42,4,2,0.984561
43,4,1,0.994764
43,1,4,0.978457
43,0,1,0.98498
43,0,3,0.98498
43,1,5,0.998026
44,3,2,0.98604
44,0,6,0.982859
44,2,0,0.979678
44,0,2,0.976497
44,0,5,0.998763
